fecha,tipo_cambio,ipc
2014-01-01,2.81019545454545,0.316846515378193
2014-02-01,2.813355,0.60083869624388
2014-03-01,2.80725238095238,0.518558879929413
2014-04-01,2.795065,0.393222043698289
2014-05-01,2.78794761904762,0.225030490782512
2014-06-01,2.79542380952381,0.159177501068276
2014-07-01,2.7874,0.433312575620032
2014-08-01,2.81577142857143,-0.0856196342018747
2014-09-01,2.8658,0.160502508704002
2014-10-01,2.90754090909091,0.378858336021168
2014-11-01,2.926425,-0.149460647587778
2014-12-01,2.96375238095238,0.228891578078382
2015-01-01,3.0076,0.170295685735701
2015-02-01,3.08007,0.30346893023652
2015-03-01,3.09332272727273,0.764664131404038
2015-04-01,3.12162,0.390506491415774
2015-05-01,3.15222,0.564365427803757
2015-06-01,3.16261428571429,0.332341348473706
2015-07-01,3.18292,0.450786388967827
2015-08-01,3.24133809523809,0.377226121085694
2015-09-01,3.22041363636364,0.0275381794493309
2015-10-01,3.250775,0.142799384312569
2015-11-01,3.3389619047619,0.344071735952856
2015-12-01,3.38472380952381,0.445721499061671
2016-01-01,3.43951,0.37252021115541
2016-02-01,3.5078619047619,0.174091242706681
2016-03-01,3.40878095238095,0.598118099213
2016-04-01,3.3040619047619,0.0114065609758854
2016-05-01,3.33625909090909,0.209563738332199
2016-06-01,3.31859523809524,0.139508528737671
2016-07-01,3.30121052631579,0.081747041914584
2016-08-01,3.33545,0.358285853821853
2016-09-01,3.38401818181818,0.206464092392192
2016-10-01,3.38738095238095,0.413354520523768
2016-11-01,3.40514210526316,0.290064059118052
2016-12-01,3.3974619047619,0.33419524609934
2017-01-01,3.34230454545455,0.237843060107308
2017-02-01,3.2616,0.323171371975582
2017-03-01,3.2657,1.30455818519093
2017-04-01,3.24941111111111,-0.258053478882145
2017-05-01,3.27583636363636,-0.423337988013419
2017-06-01,3.270515,-0.159198769026384
2017-07-01,3.25127368421053,0.198285823750627
2017-08-01,3.24378181818182,0.672225629676554
2017-09-01,3.24765238095238,-0.0157699757397503
2017-10-01,3.25302727272727,-0.469245219484567
2017-11-01,3.24287142857143,-0.197237337488294
2017-12-01,3.2488052631579,0.156851858043552
2018-01-01,3.21599523809524,0.127417107488591
2018-02-01,3.249985,0.250220520720826
2018-03-01,3.25311,0.487124356837782
2018-04-01,3.23141,-0.137073083858309
2018-05-01,3.27479090909091,0.0184551804113629
2018-06-01,3.272185,0.334058214668909
2018-07-01,3.27809047619048,0.382785985925354
2018-08-01,3.28972857142857,0.131767259402052
2018-09-01,3.31263,0.191681610790045
2018-10-01,3.33554545454545,0.0816835303769421
2018-11-01,3.376275,0.122438003210824
2018-12-01,3.36523157894737,0.181777270585084
2019-01-01,3.34444090909091,0.0653322898985492
